gdp_growth,unemployment_rate
0.32,0.02
0.8,-0.01
0.72,0.01
0.74,-0.02
0.41,0.02
0.53,0.08
0.35,0.13
-0.34,0.2
-0.61,0.12
-0.42,0.09
0.21,0.02
0.43,0.02
0.48,-0.01
0.18,0
0.32,-0.06
0.36,-0.11
0.77,-0.19
0.76,-0.15
0.62,-0.09
0.42,-0.12
0.07,-0.07
0.25,-0.11
0.33,-0.07
0.74,-0.03
0.65,-0.07
0.41,-0.06
0.21,-0.11
0.09,-0.07
0.47,-0.04
0.59,-0.12
0.69,-0.09
0.14,-0.06
0.06,0.05
0.12,0.07
0.1,0.05
-0.49,0.04
-1.35,0.2
-0.92,0.21
1.19,-0.02
0.78,-0.1
1.19,-0.04
1.31,-0.02
0.78,-0.12
-0.15,-0.12
0.13,-0.09
0.6,-0.05
1.15,-0.02
0.12,-0.06
0.04,-0.11
-0.26,-0.07
0.32,-0.07
0.75,-0.07
0.94,-0.12
0.56,-0.15
0.54,-0.11
-0.31,-0.1
-0.31,-0.05
-0.35,-0.06
0.65,-0.08
0.68,-0.04
0.47,-0.06
0,-0.04
0.15,-0.07
0.24,-0.07
0.36,-0.05
0.33,-0.1
0.31,-0.06
0.45,-0.08
0.49,-0.03
